time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-07-23T22:09:48.910Z,38.8456667,-122.8106667,1.47,2.83,md,53,27,0.01337,0.09,nc,nc73915856,2023-09-30T21:36:39.040Z,"8 km WNW of Cobb, CA",earthquake,0.12,0.18,0.168,29,reviewed,nc,nc
2023-07-23T22:06:26.336Z,56.87,-155.9809,2.7,2.6,ml,,,,0.6,ak,ak0239dqrp4z,2023-09-30T21:36:33.040Z,"110 km W of Akhiok, Alaska",earthquake,,0.5,,,reviewed,ak,ak
2023-07-23T22:06:03.710Z,58.1668333333333,-155.360333333333,1.57,0.63,ml,8,130,,0.08,av,av91975011,2023-07-27T18:24:39.640Z,"85 km NW of Karluk, Alaska",earthquake,0.26,0.5,0.239988754002339,8,reviewed,av,av
2023-07-23T22:05:31.511Z,56.8526,-155.2434,4.5,2.6,ml,,,,0.53,ak,ak0239dqrh8l,2023-09-30T21:36:39.040Z,"66 km W of Akhiok, Alaska",earthquake,,0.6,,,reviewed,ak,ak
2023-07-23T22:03:37.888Z,54.5417,-162.3408,13.1,1.7,ml,,,,0.47,ak,ak0239dqr24c,2023-07-29T16:12:05.033Z,"57 km S of King Cove, Alaska",earthquake,,0.8,,,reviewed,ak,ak
2023-07-23T22:00:06.531Z,64.544,-148.9471,13.1,0.6,ml,,,,0.8,ak,ak0239dqqcju,2023-07-30T23:53:47.966Z,"7 km ESE of Nenana, Alaska",earthquake,,0.2,,,reviewed,ak,ak
2023-07-23T21:51:59.614Z,60.2297,-151.7733,70.3,1.2,ml,,,,0.3,ak,ak0239dqfyk9,2023-07-29T16:12:04.842Z,"20 km NNW of Ninilchik, Alaska",earthquake,,0.8,,,reviewed,ak,ak
2023-07-23T21:49:15.305Z,44.2631,-114.9052,5,2.1,ml,29,64,0.633,0.79,us,us7000khvg,2023-09-30T21:36:39.040Z,"5 km NNE of Stanley, Idaho",earthquake,2.37,1.939,0.077,22,reviewed,us,us
2023-07-23T21:46:51.547Z,59.479,-152.7586,86.3,1.2,ml,,,,0.33,ak,ak0239dqevcy,2023-07-29T16:12:04.645Z,"49 km WNW of Nanwalek, Alaska",earthquake,,0.9,,,reviewed,ak,ak
2023-07-23T21:07:15.521Z,65.7545,-155.2209,2.3,1.1,ml,,,,0.81,ak,ak0239dq6fnk,2023-07-29T16:12:04.448Z,"54 km E of Huslia, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2023-07-23T21:00:45.651Z,28.98193359,-98.28033088,5.673502604,1.7,ml,16,84,0.1255842899,0.2,tx,tx2023oims,2023-08-01T17:25:58.017Z,"southern Texas",earthquake,1.076582897,2.834569341,0.1,7,reviewed,tx,tx
2023-07-23T20:59:18.859Z,35.52466667,-96.76383333,6.98,0.95,ml,24,49,0.129574573,0.16,ok,ok2023oimr,2024-01-18T20:32:50.615Z,"8 km WNW of Prague, Oklahoma",earthquake,,0.5,0.13,6,reviewed,ok,ok
2023-07-23T20:56:00.914Z,57.4309,-154.9451,70.2,3,ml,,,,0.46,ak,ak0239dpvgzc,2023-09-30T21:36:39.040Z,"Kodiak Island region, Alaska",earthquake,,0.4,,,reviewed,ak,ak
2023-07-23T20:52:06.293Z,34.7585,-112.4319,5,3.8,ml,27,42,0.375,1.08,us,us7000khv5,2023-12-04T07:06:06.384Z,"2 km E of Chino Valley, Arizona",earthquake,1.96,1.938,0.028,166,reviewed,us,us
2023-07-23T20:38:25.013Z,59.4794,-152.1999,62.2,1.4,ml,,,,0.38,ak,ak0239dprnxs,2023-07-29T16:11:59.608Z,"20 km NW of Nanwalek, Alaska",earthquake,,0.6,,,reviewed,ak,ak
2023-07-23T20:37:50.695Z,54.3385,-160.024,8.9,2.3,ml,,,,0.71,ak,ak0239dpri8t,2023-07-29T16:12:04.250Z,"115 km SSE of Sand Point, Alaska",earthquake,,0.8,,,reviewed,ak,ak
2023-07-23T20:33:34.850Z,38.8398323,-122.8773346,2.17,0.63,md,8,137,0.02015,0.01,nc,nc73915841,2023-07-23T21:05:15.076Z,"13 km WNW of The Geysers, CA",earthquake,0.32,0.9,0.38,8,automatic,nc,nc
2023-07-23T20:32:40.437Z,69.6532,-145.2901,4.6,1.2,ml,,,,0.53,ak,ak0239dpqewn,2023-07-30T23:53:49.553Z,"northern Alaska",earthquake,,0.5,,,reviewed,ak,ak
2023-07-23T20:30:56.290Z,19.3846666666667,-155.2785,1.56,2.39,ml,39,66,,0.11,hv,hv73494512,2023-07-23T20:54:05.700Z,"7 km SW of Volcano, Hawaii",earthquake,0.16,0.14,0.220859335335292,18,reviewed,hv,hv
2023-07-23T20:30:45.534Z,41.4963,-108.8409,0,3,ml,25,78,0.771,0.72,us,us7000khv2,2023-09-30T21:36:39.040Z,"14 km E of Sweeney Ranch, Wyoming",mining explosion,4.67,1.731,0.036,102,reviewed,us,us
2023-07-23T20:30:45.418Z,50.8943,-170.7824,10,3.3,ml,26,243,1.975,0.57,us,us6000kwim,2023-09-30T21:36:33.040Z,"263 km SSW of Nikolski, Alaska",earthquake,7.03,2.016,0.091,16,reviewed,us,us
2023-07-23T20:27:16.840Z,46.196666666666665,-122.19283333333334,0.61,0.22,ml,8,104,0.003403,0.05,uw,uw61943196,2023-07-24T04:03:08.110Z,"37 km NNE of Amboy, Washington",earthquake,0.44,0.31,0.08521769503782262,3,reviewed,uw,uw
2023-07-23T20:26:07.347Z,55.1615,-159.7195,46.224,2.8,ml,15,141,0.34,0.3,us,us6000kwil,2023-09-30T21:36:33.040Z,"53 km ESE of Sand Point, Alaska",earthquake,3.85,4.835,0.148,6,reviewed,us,us
